"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 22일","1,844.90","1,847.24","1,848.55","1,842.46","-","0.15%"
"2022년 05월 20일","1,842.10","1,839.60","1,847.80","1,830.60","143.05K","0.05%"
"2022년 05월 19일","1,841.20","1,815.10","1,848.20","1,808.40","175.24K","1.39%"
"2022년 05월 18일","1,815.90","1,813.20","1,822.90","1,805.00","150.35K","-0.16%"
"2022년 05월 17일","1,818.90","1,823.90","1,834.80","1,811.00","137.29K","0.27%"
"2022년 05월 16일","1,814.00","1,809.40","1,826.00","1,785.00","159.49K","0.32%"
"2022년 05월 13일","1,808.20","1,821.40","1,827.60","1,797.20","179.48K","-0.90%"
"2022년 05월 12일","1,824.60","1,852.30","1,858.80","1,820.10","255.61K","-1.57%"
"2022년 05월 11일","1,853.70","1,836.60","1,857.80","1,830.60","243.56K","0.69%"
"2022년 05월 10일","1,841.00","1,853.90","1,864.70","1,834.50","260.81K","-0.95%"
"2022년 05월 09일","1,858.60","1,883.70","1,885.60","1,851.00","218.82K","-1.29%"
"2022년 05월 06일","1,882.80","1,877.50","1,894.00","1,865.00","194.28K","0.38%"
"2022년 05월 05일","1,875.70","1,884.10","1,910.70","1,872.30","218.39K","0.37%"
"2022년 05월 04일","1,868.80","1,868.30","1,892.00","1,861.10","161.48K","-0.10%"
"2022년 05월 03일","1,870.60","1,863.60","1,878.40","1,849.70","167.43K","0.38%"
"2022년 05월 02일","1,863.60","1,896.20","1,900.40","1,853.40","193.83K","-2.52%"
"2022년 04월 29일","1,911.70","1,895.80","1,921.30","1,893.50","177.14K","1.08%"
"2022년 04월 28일","1,891.30","1,886.80","1,897.80","1,870.90","170.91K","0.29%"
"2022년 04월 27일","1,885.80","1,903.10","1,903.10","1,879.20","1.79K","-0.83%"
"2022년 04월 26일","1,901.50","1,898.50","1,908.50","1,894.00","0.46K","0.43%"
"2022년 04월 25일","1,893.30","1,932.30","1,932.30","1,890.00","1.62K","-1.98%"
"2022년 04월 22일","1,931.60","1,949.50","1,954.20","1,926.70","0.67K","-0.71%"
"2022년 04월 21일","1,945.40","1,955.00","1,955.20","1,935.80","0.47K","-0.38%"
"2022년 04월 20일","1,952.90","1,949.90","1,957.80","1,938.70","0.63K","-0.17%"
"2022년 04월 19일","1,956.30","1,978.60","1,981.00","1,943.50","0.78K","-1.38%"
"2022년 04월 18일","1,983.60","1,974.80","2,000.00","1,972.50","0.51K","0.58%"
"2022년 04월 14일","1,972.20","1,977.50","1,981.10","1,961.20","0.57K","-0.49%"
"2022년 04월 13일","1,981.90","1,968.60","1,982.40","1,963.70","0.53K","0.44%"
"2022년 04월 12일","1,973.20","1,953.50","1,979.20","1,951.00","1.00K","1.44%"
"2022년 04월 11일","1,945.10","1,949.50","1,970.80","1,940.80","0.40K","0.14%"
"2022년 04월 08일","1,942.40","1,931.30","1,948.90","1,928.70","0.96K","0.40%"
"2022년 04월 07일","1,934.70","1,923.80","1,937.10","1,920.40","1.19K","0.78%"
"2022년 04월 06일","1,919.70","1,924.80","1,932.00","1,914.00","1.21K","-0.23%"
"2022년 04월 05일","1,924.10","1,934.40","1,945.00","1,918.10","1.19K","-0.34%"
"2022년 04월 04일","1,930.60","1,924.50","1,938.00","1,917.80","2.01K","0.50%"
"2022년 04월 01일","1,920.90","1,939.30","1,940.90","1,919.00","1.09K","-1.55%"
"2022년 03월 31일","1,951.10","1,935.40","1,951.90","1,921.50","1.46K","0.77%"
